上次更新,201801180,,,,,,,719,0,24,17,477,7,9,211,23,39,58,8,1,24,3,12,74,44,24,13,4,9,6,8,4,0,8,4,9,0,31,1,83,97,0,0,3,42,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,2,5
肯德基怎麼買最划算(CPKing_KFC) 原始碼,https://github.com/agudoe2/CPKing_KFC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
肯德基優惠券圖庫,https://imgur.com/a/Mks8t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阿古多 agudoe2@gmail.com,http://agudoe2.blogspot.tw/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(注意非最新程式碼及資料) 可參考網頁 by HamalAri@ptt,http://kfc.sshd.space/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
名稱,優惠代碼,連結,有效期間,原價,優惠價,省$,省%,咔啦脆雞(中辣),上校薄脆雞,美式BBQ醬烤煙燻雞,醬香酸甜風味炸雞,原味蛋撻,蘭姆醺萄蛋撻,經典玉米,上校雞塊,雞汁風味飯,義式香草紙包雞,咔啦雞腿堡,上校經典脆雞堡,熱情森巴咔啦雞腿堡,紐奧良烤雞腿堡,紐奧良烤全雞,香酥脆薯(大),香酥脆薯(中),香酥脆薯(小),勁爆雞米花(大),勁爆雞米花(小),香酥洋蔥圈,川香椒麻烤翅(對),點心盒-勁爆雞米花+香酥脆薯(小),點心盒-上校雞塊+香酥脆薯(小),墨西哥莎莎霸王捲,金黃脆腿條(對),草莓起司冰淇淋大福,提拉米蘇冰淇淋大福,鮮蔬沙拉(千島醬),100%柳橙汁320g,百事可樂1.25L,百事可樂(大),百事可樂(中),百事可樂(小),百事可樂(兒),冰紅茶(大),冰紅茶(中),冰紅茶(小),冰紅茶(兒),冰無糖茉莉綠茶(大),冰無糖茉莉綠茶(中),冰無糖茉莉綠茶(小),冰無糖茉莉綠茶(兒),冰義式咖啡,冰義式拿鐵,經典冰奶茶(中),經典冰奶茶(小),經典熱奶茶(中),經典熱奶茶(小),七喜(大),七喜(中),七喜(小),七喜(兒),鮮奶(中),鮮奶(小),熱紅茶,熱義式卡布奇諾,熱義式拿鐵,熱義式咖啡(大),熱義式咖啡(小),玉米濃湯(大),玉米濃湯(小)
單價,,,,,,,,49,49,49,49,30,35,29,12,39,98,90,80,99,90,350,48,39,27,45,39,48,39,49,49,85,49,49,49,40,38,40,37,32,27,22,37,32,27,22,37,32,27,22,45,65,35,30,35,30,37,32,27,22,42,35,30,65,65,45,33,52,40
18塊雞BBQ同樂餐,套餐,na,na,1109,1109,0,100%,10,,8,,12,,,,,,,,,,,,3,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5塊雞桶餐,套餐,na,na,199,199,0,100%,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8塊雞桶餐,套餐,na,na,322,322,0,100%,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8塊上校雞塊套餐,套餐,na,na,135,99,36,73%,,,,,,,,8,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
超人氣同樂餐,套餐,na,na,719,719,0,100%,6,,,,6,,,,,,3,,,,,,,3,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
超值同樂餐,套餐,na,na,1409,1409,0,100%,24,,,,12,,,,,,,,,,,,3,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
蛋撻點心盒餐,套餐,na,na,55,55,0,100%,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
